	error_rate	avg_char_duration	screen_size	swipe_finger
0	-0.14891812908072147	1.5876890077598684	Small	Index
1	-0.6841227267140412	1.43375297078118	Small	Thumb
2	0.645038586500939	-1.216413301556284	Small	Index
3	1.061170859379855	-0.9262565938327197	Small	Thumb
4	-0.9596284346463484	0.016613441028025287	Small	Index
5	-0.46681354907228334	-0.06032780379060773	Small	Thumb
6	-0.42565785175564025	0.5097189085905807	Small	Thumb
7	0.4278881242831905	-0.5968982492577158	Small	Thumb
8	0.9236043755499733	0.5062736718068708	Small	Index
9	-0.5232490668479044	-0.054639035994429715	Small	Thumb
10	-0.47881729412297114	0.3553808308863358	Small	Thumb
11	-0.9897826804597019	-0.6056903503541997	Small	Thumb
12	-0.8480740428018845	-0.505851229730564	Small	Index
13	1.782503600425788	-0.21830978614865695	Small	Thumb
14	0.825241834865073	-0.7619896263076191	Small	Index
15	-0.9965440371787133	-0.6366727234337466	Small	Thumb
16	0.4957273235706568	0.5338221128643663	Small	Index
17	-0.5825217800526824	-0.3823854976150434	Small	Thumb
18	-0.15744430162956316	1.7444579521090688	Small	Thumb
19	-0.7116067594785085	-0.2887537870086254	Small	Index
20	-0.08749789125561054	0.8458740059948477	Small	Index
21	-0.9619555145283716	2.0956368347833414	Small	Index
22	0.7305600197338022	-0.22989261866573465	Small	Thumb
23	-0.5851361788576329	-0.7961871204098189	Small	Thumb
24	-0.8731492770567527	0.9346390673372525	Small	Thumb
25	-1.0480347170059068	0.5845390351555437	Small	Other
26	0.7305600197338022	3.5795398118217743	Small	Thumb
27	-0.3037038369129405	0.4771410998200464	Small	Thumb
28	1.5678212370192601	-0.44094690068046594	Small	Thumb
29	0.923774146799677	-0.20376430244367089	Small	Thumb
30	-0.5335402495011059	0.39637636076301297	Small	Thumb
31	0.2654148990196582	-0.8445065428295984	Small	Thumb
32	0.6189251907624077	-0.5225135946206337	Small	Thumb
33	-0.011026053647271808	0.7028037091965745	Small	Index
34	-0.20377496187460822	1.7982348320765946	Small	Thumb
35	0.44232255148798816	-1.1129598536321779	Small	Thumb
36	1.218962396483653	0.4421253466162383	Small	Thumb
37	1.9194630024210257	-0.3798860844948405	Small	Index
38	-0.24624473376589912	-0.3553388792635209	Small	Thumb
39	-1.2230494872656004	-0.4341917295541877	Small	Thumb
40	0.04068347464027188	1.897209105715445	Small	Index
41	0.7863774342194992	1.1022266195699846	Small	Thumb
42	2.0329663577334043	-0.7877989161871687	Small	Thumb
43	1.29773697337879	1.2766534103347313	Small	Thumb
44	2.143169970948755	0.06687844918285499	Small	Thumb
45	0.8526606139212649	0.09942035944034754	Small	Thumb
46	-0.020828252189045333	-0.2508785771610911	Small	Thumb
47	-0.3876186030152729	0.16005444936090188	Small	Other
48	0.24215764298395154	-0.7632841342731413	Small	Thumb
